"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"20425","BUS",33.7613499788896,-84.3720093432061,"DAILY",13,9
"20427","BUS",33.7613195357627,-84.3678200311688,"DAILY",6,6
"20428","BUS",33.7617799880575,-84.3600802738456,"DAILY",49,19
"20429","BUS",33.7650802132866,-84.3547105921322,"DAILY",1,1
"20430","BUS",33.7772298749759,-84.352500566648,"DAILY",86,82
"20431","BUS",33.7909797035246,-84.3554094776806,"DAILY",1,2
"20432","BUS",33.7938204278065,-84.351269514432,"DAILY",61,58
"20434","BUS",33.7823804715138,-84.3543198030755,"DAILY",11,13
"20435","BUS",33.7820303755541,-84.3593200357491,"DAILY",1,0
"20436","BUS",33.7818895760921,-84.3613700111077,"DAILY",7,8
"20437","BUS",33.7812597839036,-84.3676106322545,"DAILY",0,0
"20438","BUS",33.7805101219029,-84.3690497496338,"DAILY",34,36
"20449","BUS",33.801849802535,-84.3722894309259,"DAILY",4,4
"20456","BUS",33.8078803957109,-84.3659301059359,"DAILY",1,4
"20457","BUS",33.8100399550277,-84.3601002801113,"DAILY",169,150
"20458","BUS",33.8150202603243,-84.3530100595478,"DAILY",122,125
"20459","BUS",33.8171598413391,-84.352100441334,"DAILY",123,126
"20460","BUS",33.8257000897914,-84.3528593456795,"DAILY",34,24
"20462","BUS",33.8344895913455,-84.3574701230475,"DAILY",0,0
"20464","BUS",33.8436196753822,-84.3581503360813,"DAILY",1,0
"20465","BUS",33.8487198504912,-84.360720474348,"DAILY",103,72.01
"20466","BUS",33.8257200680935,-84.3514295645576,"DAILY",19,19
"20467","BUS",33.8241303660589,-84.3561803857855,"DAILY",4,4
"20468","BUS",33.8184403553657,-84.3516496334803,"DAILY",323,302.03
"20469","BUS",33.8189103211377,-84.353159439665,"DAILY",11.01,11
"20470","BUS",33.8206503361114,-84.3651005127849,"DAILY",188,170.02
"20482","BUS",33.7547095718274,-84.4135503533024,"DAILY",0,0
"20484","BUS",33.7321198202956,-84.4136997334196,"DAILY",0,3
"20485","BUS",33.7358395898677,-84.4140798524679,"DAILY",85,110
"20488","BUS",33.7443703248429,-84.4139704848821,"DAILY",486,479
"20489","BUS",33.7464804140784,-84.4175396026827,"DAILY",3,6
"20492","BUS",33.7472900109853,-84.4279695358668,"DAILY",0,0
"20493","BUS",33.7473204541122,-84.4309998182446,"DAILY",1,1
